COUNTY	PARCEL_NUM	DATE_UPDATED
FakeTestCounty	00373301100301	8/10/24
Snohomish	00377900000400	8/10/24
Snohomish	00378800400100	8/10/24
Snohomish	00381500001300	8/10/24
Snohomish	00381500004600	8/10/24
Snohomish	00381500004700	8/10/24
Snohomish	00384700300102	8/10/24
Snohomish	00384700300200	8/10/24
Snohomish	00401100010500	8/10/24
Snohomish	00401649701100	8/10/24
Snohomish	00408600500400	8/10/24
Snohomish	00417300702600	8/10/24
Snohomish	00437443102800	8/10/24
Snohomish	00438034102300	8/10/24
Snohomish	00438833203100	8/10/24
Snohomish	00439168102300	8/10/24
Snohomish	00442100002701	8/10/24
Snohomish	00449700001100	8/10/24
Snohomish	00458813101101	8/10/24
Snohomish	00466200003000	8/10/24
Snohomish	00466200009600	8/10/24
Snohomish	00467000001500	8/10/24
Snohomish	00470600002800	8/10/24
Snohomish	00470600007300	8/10/24
Snohomish	00474000300900	8/10/24
Snohomish	00485600001400	8/10/24
Snohomish	00500302500900	8/10/24
Snohomish	00512000208100	8/10/24
Snohomish	00526000400200	8/10/24
Snohomish	00526000400300	8/10/24
Snohomish	00526100516500	8/10/24
Snohomish	00526100540900	8/10/24
Snohomish	00526500000100	8/10/24
Snohomish	00526500000200	8/10/24
Snohomish	00526500000400	8/10/24
Snohomish	00528400700300	8/10/24
Snohomish	00556800300503	8/10/24
Snohomish	00556800300504	8/10/24
Snohomish	00557100404400	8/10/24
Snohomish	00557600003000	8/10/24
Snohomish	00558900001100	8/10/24
Snohomish	00563239502300	8/10/24
Snohomish	00574300000800	8/10/24
Snohomish	00576800502000	8/10/24
Snohomish	00579100001705	8/10/24
Snohomish	00579300200101	8/10/24
Snohomish	00582000400300	8/10/24
Snohomish	00589600000900	8/10/24
Snohomish	00596901100100	8/10/24
Snohomish	00617300100803	8/10/24
Snohomish	00635500000200	8/10/24
Snohomish	00647900002500	8/10/24
Snohomish	00668300220400	8/10/24
Snohomish	00674700222200	8/10/24
Snohomish	00680500300700	8/10/24
Snohomish	00693400003100	8/10/24
Snohomish	00718300000200	8/10/24
Snohomish	00723600130000	8/10/24
Snohomish	00774800008200	8/10/24
Snohomish	00777400003100	8/10/24
Snohomish	00855200002000	8/10/24
Snohomish	00882102210200	8/10/24
Snohomish	00917200001200	8/10/24
Snohomish	00937900001000	8/10/24
Snohomish	001033430900800	8/10/24
Snohomish	001040200001300	8/10/24
Snohomish	001049400230200	8/10/24
Snohomish	01156900000900	8/10/24
Snohomish	01164600000300	8/10/24
Snohomish	27032300410300	8/10/24
Snohomish	27043000303600	8/10/24
Snohomish	27053100207700	8/10/24
Snohomish	27053200301300	8/10/24
Snohomish	27061200402200	8/10/24
Snohomish	27061600100600	8/10/24
Snohomish	27063600100800	8/10/24
Snohomish	27090500102400	8/10/24
Snohomish	27090900100800	8/10/24
Snohomish	28051600201800	8/10/24
Snohomish	28051700305100	8/10/24
Snohomish	28061000301000	8/10/24
Snohomish	28062700401200	8/10/24
Snohomish	28063100100700	8/10/24
Snohomish	28070300300400	8/10/24
Snohomish	28071600301300	8/10/24
Snohomish	28071600301301	8/10/24
Snohomish	29052600203400	8/10/24
Snohomish	29061600302800	8/10/24
Snohomish	30041400402300	8/10/24
Snohomish	30042300300700	8/10/24
Snohomish	30042400202100	8/10/24
Snohomish	30052100410900	8/10/24
Snohomish	30052100411500	8/10/24
Snohomish	30052400402900	8/10/24
Snohomish	30061100103300	8/10/24
Snohomish	30062300302100	8/10/24
Snohomish	30063000301000	8/10/24
Snohomish	30063000301300	8/10/24
Snohomish	30070500202500	8/10/24
Snohomish	30080900302700	8/10/24
Snohomish	30091900101000	8/10/24
Snohomish	30091900101100	8/10/24
Snohomish	31040200301200	8/10/24
Snohomish	31040400100300	8/10/24
Snohomish	31042200301500	8/10/24
Snohomish	31042200303000	8/10/24
